862,862,862
439,439,439
732,732,732
1092,1092,1092
732,732,732
670,670,670
266,266,266
1068,1068,1068
710,710,710
666,922,666
755,755,755
1265,1265,1265
863,863,863
1068,1068,1068
1041,1041,1041
1076,1076,1076
1126,1126,1126
1041,1041,1041
20,252,252
664,710,710
285,285,285
269,269,269
1041,1041,1041
862,862,862
682,682,1357
863,863,863
435,667,435
672,672,672
362,362,362
749,266,266
266,266,266
282,282,282
754,754,754
862,862,862
862,20,20
435,20,20
1265,1265,1265
190,190,190
250,250,250
1025,561,561
269,269,269
269,269,269
302,302,302
372,372,372
682,682,682
285,710,710
1339,1339,1339
1068,1068,1068
266,266,266
682,682,682
754,754,754
269,269,269
863,863,863
1038,1038,682
269,269,269
1068,1068,1068
862,862,862
266,266,266
284,693,693
1041,1041,1041
285,285,285
357,357,357
1099,1099,1099
267,267,267
697,697,697
437,437,437
1339,1339,1339
358,358,358
372,404,404
1265,1265,1265
272,272,272
1339,1339,1339
1240,1240,1240
829,829,829
682,NA,NA
1114,1114,1078
862,862,862
1339,1339,1339
682,682,682
431,431,431
710,710,710
232,232,20
682,457,1419
732,732,732
1265,1265,841
266,266,266
710,710,710
749,749,749
749,749,749
758,758,758
1068,1068,1068
749,749,749
250,250,250
684,758,758
1068,1068,1068
666,666,666
