Tool,TP,FP,FN,P(%),R(%),F(%)
Confuzzius,13,462,2250,2.74,0.57,0.95
Conkas,2,51,677,3.77,0.29,0.55
Honeybadger,0,7,52,0.00,0.00,0.00
Maian,0,10,1124,0.00,0.00,0.00
Manticore,0,0,992,0.00,0.00,0.00
Mythril,0,33,4383,0.00,0.00,0.00
Osiris,1,53,2433,1.85,0.04,0.08
Oyente,3,83,769,3.49,0.39,0.70
Securify,1,3,1004,25.00,0.10,0.19
Semgrep,3920,24638,9685,13.73,28.81,18.59
Slither,4016,40468,14936,9.03,21.19,12.66
Smartcheck,3939,34446,10512,10.26,27.26,14.91
Solhint,3271,19976,11485,14.07,22.17,17.21
